split,patch_size,num_targets,target_finite_all,masked_target_finite_all,masked_target_log_finite_all,target_mean_mean,target_p99_mean,target_nonzero_fraction_mean,masked_target_mean_mean,masked_target_p99_mean,masked_target_log_mean_mean,masked_target_log_p99_mean,masked_target_nonzero_fraction_mean,support_mask_mean_mean,support_mask_p99_mean,psf_envelope_mean_mean
calibration,8,24,True,True,True,0.0037450058395431065,0.026783690904267132,1.0,0.002666293915050725,0.02522872609551996,0.4271342953046163,2.3978948394457498,1.0,0.3146267582972844,1.0,0.019052838440984488
calibration,16,24,True,True,True,0.0037745442144417516,0.02241979675212254,1.0,0.002655346722652515,0.02169533442550649,0.4785372242331505,2.3978947500387826,1.0,0.3146267582972844,1.0,0.019052753302579124
train,8,80,True,True,True,0.004227310328860767,0.033334949857089666,1.0,0.0029927198265795596,0.02931121028959751,0.4218521613627672,2.397894874215126,1.0,0.3155384261161089,1.0,0.018475576164200903
train,16,80,True,True,True,0.004277364604058675,0.028891141817439348,1.0,0.002986193155811634,0.02581051754532382,0.47090688459575175,2.397894802689552,1.0,0.3155384261161089,1.0,0.018474507448263466
