Predictor,Target coverage,Observed coverage,q-hat,Interval width,MAE,Spearman,Top-10% AUPRC
reliability_a4_image_only,0.9,0.8966901287342768,0.2475924581943542,0.4951849163887085,0.0822708679769207,0.9516263999780094,0.8421053213072274
reliability_full,0.9,0.8987599498820755,0.2578211315951917,0.5156422631903834,0.084875476549031,0.9403607896374206,0.840123965552539
psf_gain_channel,0.9,0.8999514789701258,0.4550525052400274,0.9101050104800548,0.1402365424995867,0.9210259359568808,0.5303095388412874
xhat_magnitude,0.9,0.9062837804638364,0.8183727335792652,1.6367454671585304,0.312928327313355,0.8809556743273697,0.5675091142933045
image_gradient,0.9,0.9074568838443396,0.9475097558127274,1.895019511625455,0.376743661482193,0.8048115428184941,0.5775863150614831
intervention_magnitude,0.9,0.9064588246855346,1.3334760960174257,2.666952192034852,0.5448650496128244,0.3812049100296142,0.1572349669201808
