epoch,variant,train_huber_mean,train_huber_min,train_huber_max,val_mae,val_mse,val_pearson,val_spearman,val_top_risk_auroc,val_top_risk_auprc,best_val_mae,improved_by_val_mae,epochs_without_improvement,learning_rate
0,A4_image_only,0.009940208185086067,0.001300693373195827,0.12534555792808533,0.11341367041372233,0.05575148563135972,0.9422131212356555,0.9103461023161307,0.9642313612274123,0.7286080559454754,0.11341367041372233,True,0,0.0001
1,A4_image_only,0.008439014683810404,0.0013199766399338841,0.10037658363580704,0.1224023779813592,0.05437966706527638,0.9520949239319837,0.9512185477017965,0.9665887342421913,0.7389692847019596,0.11341367041372233,False,1,0.0001
2,A4_image_only,0.007957432529601476,0.0012858044356107712,0.08662211894989014,0.10825578927392668,0.044674382663671304,0.9534699116704171,0.9436089855857224,0.9670075332385295,0.7412851664180182,0.10825578927392668,True,0,0.0001
3,A4_image_only,0.007546236949861867,0.001104166149161756,0.0753045454621315,0.0982728475525587,0.037910770577823834,0.9602905268689422,0.9473425606744126,0.970747977016493,0.7619109997649472,0.0982728475525587,True,0,0.0001
4,A4_image_only,0.0072139214219227666,0.0011571679497137666,0.06289155781269073,0.12143998677295877,0.04511403079407675,0.9541945941932036,0.9001225739505381,0.9719409598265087,0.7629648609459817,0.0982728475525587,False,1,0.0001
5,A4_image_only,0.006888553829623538,0.0009499651496298611,0.051295846700668335,0.0918425559509704,0.031159339208918734,0.9674436677174942,0.9376235156574154,0.9785297270374458,0.798296822437689,0.0918425559509704,True,0,0.0001
6,A4_image_only,0.006578050099340995,0.0009649379644542933,0.0595955066382885,0.09712653364355264,0.03655483313658486,0.9668000651288482,0.9461805538183601,0.9773951765893951,0.7916233435623199,0.0918425559509704,False,1,0.0001
7,A4_image_only,0.006456999813402101,0.0009364194702357054,0.06606265902519226,0.09177894206531602,0.03163457799956475,0.9689220459314797,0.9457078996145456,0.9808212130265757,0.824798731840177,0.0918425559509704,False,2,0.0001
8,A4_image_only,0.006310155816145568,0.0010077276965603232,0.07512547820806503,0.08794837177272383,0.027932250197574955,0.9704701947574461,0.9493572367531237,0.9816181468200877,0.8315766829625492,0.08794837177272383,True,0,0.0001
9,A4_image_only,0.006260156722521836,0.0007596061332151294,0.0850839763879776,0.08796391981597004,0.029766985553017433,0.9689170587364442,0.9404317840177431,0.9806066685982565,0.8236587240652739,0.08794837177272383,False,1,0.0001
10,A4_image_only,0.006185433944814246,0.000998396659269929,0.0859818160533905,0.08883011856100939,0.02939691687851918,0.9689405755683005,0.9517236494831176,0.9807401193407037,0.8314289136561641,0.08794837177272383,False,2,0.0001
