sample_id,volume_id,slice_idx,mae,mse,pearson,split
file_brain_AXT2_202_6000459_slice002,file_brain_AXT2_202_6000459,2,0.06744679808616638,0.014513999223709106,0.9847326369339395,train
file_brain_AXT2_202_2020273_slice005,file_brain_AXT2_202_2020273,5,0.06208456680178642,0.016802437603473663,0.984557059752785,train
file_brain_AXT2_200_6002539_slice005,file_brain_AXT2_200_6002539,5,0.0945960208773613,0.032102953642606735,0.9820920285122596,train
file_brain_AXT2_210_2100225_slice003,file_brain_AXT2_210_2100225,3,0.08092537522315979,0.030204253271222115,0.9801487026793818,train
file_brain_AXT2_209_6001261_slice008,file_brain_AXT2_209_6001261,8,0.05366722494363785,0.01661595329642296,0.9771576291367758,train
file_brain_AXT2_210_2100345_slice008,file_brain_AXT2_210_2100345,8,0.08829870820045471,0.03388052433729172,0.9618539149351859,train
file_brain_AXT2_200_6002486_slice015,file_brain_AXT2_200_6002486,15,0.1483088731765747,0.03306300938129425,0.9873317792445091,train
file_brain_AXT2_200_6002375_slice010,file_brain_AXT2_200_6002375,10,0.07787881791591644,0.028656426817178726,0.9632522387089628,train
file_brain_AXT2_203_2030196_slice005,file_brain_AXT2_203_2030196,5,0.07422831654548645,0.025046367198228836,0.9773434367482406,train
file_brain_AXT2_201_2010519_slice010,file_brain_AXT2_201_2010519,10,0.09605709463357925,0.03283121436834335,0.9602502428886155,train
file_brain_AXT2_200_6001980_slice003,file_brain_AXT2_200_6001980,3,0.0834016427397728,0.030222715809941292,0.9744108469974159,train
file_brain_AXT2_201_2010201_slice001,file_brain_AXT2_201_2010201,1,0.11409220099449158,0.04893261566758156,0.9718783006712844,train
file_brain_AXT2_207_2070611_slice011,file_brain_AXT2_207_2070611,11,0.03456210717558861,0.0042646052315831184,0.9917193755959433,train
file_brain_AXT2_210_6001515_slice005,file_brain_AXT2_210_6001515,5,0.08267341554164886,0.028128277510404587,0.9722354490597775,train
file_brain_AXT2_208_2080445_slice014,file_brain_AXT2_208_2080445,14,0.04528544098138809,0.00675682257860899,0.9931519064763601,train
file_brain_AXT2_200_6002532_slice014,file_brain_AXT2_200_6002532,14,0.04255417734384537,0.00393452076241374,0.9933728878672743,train
file_brain_AXT2_207_2070422_slice013,file_brain_AXT2_207_2070422,13,0.04844710975885391,0.005610791500657797,0.9925648079006266,train
file_brain_AXT2_210_2100090_slice000,file_brain_AXT2_210_2100090,0,0.07951425015926361,0.023239262402057648,0.9791512219012029,train
file_brain_AXT2_201_2010455_slice010,file_brain_AXT2_201_2010455,10,0.04992607235908508,0.01600991189479828,0.978988033110851,train
file_brain_AXT2_207_2070590_slice000,file_brain_AXT2_207_2070590,0,0.10659375041723251,0.04193129017949104,0.9744292672956788,train
file_brain_AXT2_201_2010590_slice010,file_brain_AXT2_201_2010590,10,0.08689063787460327,0.035642240196466446,0.9561067306542227,train
file_brain_AXT2_203_2030135_slice012,file_brain_AXT2_203_2030135,12,0.09291677176952362,0.02229125425219536,0.9806916292262122,train
file_brain_AXT2_200_6002528_slice009,file_brain_AXT2_200_6002528,9,0.043234873563051224,0.008748531341552734,0.990748433397465,train
file_brain_AXT2_208_2080192_slice000,file_brain_AXT2_208_2080192,0,0.09827814996242523,0.03198070079088211,0.9729749473588057,train
file_brain_AXT2_210_2100345_slice006,file_brain_AXT2_210_2100345,6,0.09478230774402618,0.03569545969367027,0.9634273635422064,train
file_brain_AXT2_204_2040042_slice001,file_brain_AXT2_204_2040042,1,0.0752032995223999,0.02215547300875187,0.9884771377804757,train
file_brain_AXT2_210_6001546_slice012,file_brain_AXT2_210_6001546,12,0.053324293345212936,0.006499384995549917,0.9873610572141355,train
file_brain_AXT2_200_6002381_slice010,file_brain_AXT2_200_6002381,10,0.060091570019721985,0.016342520713806152,0.9790690115227081,train
file_brain_AXT2_201_2010604_slice010,file_brain_AXT2_201_2010604,10,0.04173722490668297,0.010503381490707397,0.9864989669610432,train
file_brain_AXT2_200_6002446_slice005,file_brain_AXT2_200_6002446,5,0.10153989493846893,0.04043986275792122,0.9607343249256082,train
file_brain_AXT2_208_2080011_slice003,file_brain_AXT2_208_2080011,3,0.09284663945436478,0.03613739460706711,0.9630410273427771,train
file_brain_AXT2_207_2070709_slice002,file_brain_AXT2_207_2070709,2,0.09627321362495422,0.04245923459529877,0.9589708944965921,train
file_brain_AXT2_207_2070460_slice011,file_brain_AXT2_207_2070460,11,0.057890187948942184,0.011518517509102821,0.9886065422306298,train
