Predictor,MAE mean,MAE CI low,MAE CI high,Spearman mean,Spearman CI low,Spearman CI high,AUROC mean,AUROC CI low,AUROC CI high,AUPRC mean,AUPRC CI low,AUPRC CI high
reliability_a4_image_only,0.0803106211525067,0.0770034737536495,0.0839552570035754,0.9521901890288772,0.9440795088823084,0.9601048734678927,0.9823121601355206,0.9804069054198036,0.9839772331101188,0.8414260919384832,0.8252573362485527,0.8564907097768679
reliability_full,0.0831171499518256,0.0797096346437286,0.0869447951199898,0.9410466036406951,0.9329006375425656,0.9489203029668088,0.9818943211061736,0.9800550547972364,0.9835949864530418,0.8393889931193738,0.8216868526776835,0.8560700715679542
image_gradient,0.4190673153330094,0.4010688734471192,0.4391820547862122,0.8047170312316159,0.7920551541019023,0.8167460242113712,0.940193460642312,0.9369619800029642,0.9431214822963432,0.5764354419260751,0.553773276038327,0.6002112137534863
xhat_magnitude,0.3410533319166655,0.3249269499594352,0.3581022806012089,0.8813552292315575,0.8659150318994439,0.8944107866361694,0.9470349227028052,0.9407215509483732,0.9526589220997272,0.5666829831645189,0.5375559212774745,0.5915773210099801
psf_gain_channel,0.2452912976527215,0.2336669081377163,0.2585991069367034,0.9216315832880312,0.9099918659927498,0.932379282584509,0.9489362894549446,0.9432728741443692,0.9540053222641736,0.5298723553069203,0.5000641392474202,0.5573036545969554
intervention_magnitude,0.5429083085147794,0.5276111213970711,0.559369335510029,0.381853672122426,0.3467154184967904,0.4149705312645088,0.5056405197983159,0.4837776241235754,0.5263550538544517,0.1572460721725787,0.1473268672821509,0.1675476648056205
