predictor,n_bootstrap,mae_mean,mae_median,mae_ci_low,mae_ci_high,mse_mean,mse_median,mse_ci_low,mse_ci_high,pearson_mean,pearson_median,pearson_ci_low,pearson_ci_high,spearman_mean,spearman_median,spearman_ci_low,spearman_ci_high,top_risk_auroc_mean,top_risk_auroc_median,top_risk_auroc_ci_low,top_risk_auroc_ci_high,top_risk_auprc_mean,top_risk_auprc_median,top_risk_auprc_ci_low,top_risk_auprc_ci_high
image_gradient,1000,0.4190673153330094,0.41867574659796003,0.4010688734471192,0.43918205478621225,0.618731314258296,0.6177095321466186,0.5887248398323157,0.6538355739582606,0.6352259525484837,0.6345192716233294,0.6217592329930655,0.6509578553927542,0.8047170312316159,0.8049710620126982,0.7920551541019023,0.8167460242113712,0.9401934606423119,0.9402600528247318,0.9369619800029642,0.9431214822963432,0.5764354419260751,0.576981873953331,0.553773276038327,0.6002112137534863
intervention_magnitude,1000,0.5429083085147794,0.5428849140396133,0.5276111213970711,0.559369335510029,0.5017185279257202,0.5009636324384753,0.47848986720114917,0.5263112341135144,0.10053154826374336,0.10112599237148492,0.06447337953690196,0.13349207269374255,0.38185367212242605,0.3819732244055011,0.3467154184967904,0.41497053126450884,0.5056405197983159,0.5057545395649752,0.4837776241235754,0.5263550538544517,0.15724607217257874,0.15722349939889585,0.14732686728215097,0.16754766480562058
psf_gain_channel,1000,0.2452912976527215,0.24491731104375697,0.2336669081377163,0.25859910693670346,0.20349733807689782,0.203109540534642,0.18955996523972143,0.21989643877190626,0.924268117744168,0.9240887210489698,0.9172942553227958,0.9309933027056186,0.9216315832880312,0.9216909462692222,0.9099918659927498,0.932379282584509,0.9489362894549446,0.9490863994957257,0.9432728741443692,0.9540053222641736,0.5298723553069203,0.5308038827208433,0.5000641392474202,0.5573036545969554
reliability_a4_image_only,1000,0.08031062115250674,0.08017519228393002,0.07700347375364956,0.0839552570035754,0.027173023189033238,0.02709124060671128,0.025027395374741548,0.02960153540067204,0.9714779160306756,0.9715212891245266,0.9681165493957719,0.974532628948875,0.9521901890288773,0.952347696378306,0.9440795088823084,0.9601048734678929,0.9823121601355206,0.9823164374683451,0.9804069054198036,0.9839772331101189,0.8414260919384832,0.8417753106561318,0.8252573362485527,0.8564907097768679
reliability_full,1000,0.08311714995182569,0.08306691536513512,0.07970963464372866,0.0869447951199898,0.027930466666497723,0.027833431122653962,0.02584257993674519,0.03020434690162154,0.9707012970372093,0.9707361339791043,0.9672927084270873,0.9739453065062946,0.9410466036406953,0.9411592686381656,0.9329006375425657,0.9489203029668088,0.9818943211061735,0.981929677922887,0.9800550547972364,0.9835949864530418,0.8393889931193738,0.8400119064314292,0.8216868526776835,0.8560700715679542
xhat_magnitude,1000,0.3410533319166655,0.3404857367074954,0.3249269499594352,0.3581022806012089,0.40472738307422224,0.40353526983827187,0.3798603699011129,0.43406359240792114,0.7475790315024975,0.7475677414224684,0.7349686861203201,0.759481627241141,0.8813552292315575,0.8816389287258877,0.8659150318994439,0.8944107866361694,0.9470349227028053,0.9471843564323728,0.9407215509483732,0.9526589220997271,0.5666829831645189,0.5675260464993654,0.5375559212774745,0.5915773210099801
