epoch,variant,train_huber_mean,train_huber_min,train_huber_max,val_mae,val_mse,val_pearson,val_spearman,val_top_risk_auroc,val_top_risk_auprc,best_val_mae,improved_by_val_mae,epochs_without_improvement,learning_rate
0,A1_no_psf_skip,0.010339625953619301,0.0012542858021333814,0.12419221550226212,0.111914721205846,0.05487680598452221,0.9432258963219674,0.9342954822380041,0.9638357855884477,0.72793255376156,0.111914721205846,True,0,0.0001
1,A1_no_psf_skip,0.008377027074619544,0.0014207186177372932,0.10011209547519684,0.12582995406823674,0.05258273545794601,0.9552627017609081,0.9472058446956615,0.9678463224536271,0.7462378760416128,0.111914721205846,False,1,0.0001
2,A1_no_psf_skip,0.00785870471495557,0.001220576697960496,0.08610132336616516,0.10527445051136716,0.042325781400593725,0.9556068361963903,0.9468641161497586,0.9677736802812108,0.7422932983140866,0.10527445051136716,True,0,0.0001
3,A1_no_psf_skip,0.0074093837251224,0.0012508886866271496,0.07719596475362778,0.09674284062446482,0.03624299166045822,0.9620232305152632,0.9260950167299443,0.9720301586888745,0.7656187261785061,0.09674284062446482,True,0,0.0001
4,A1_no_psf_skip,0.007048608295854508,0.0010162338148802519,0.06237248331308365,0.10082036828639895,0.03359957373612819,0.9650760538044105,0.9456860960472112,0.9761169122492616,0.7837502761082956,0.09674284062446482,False,1,0.0001
5,A1_no_psf_skip,0.006691405143907008,0.0011652009561657906,0.052753061056137085,0.08947129809037371,0.0299410596149606,0.9682197822449407,0.9481857508080265,0.9793773680423958,0.8036921373239663,0.08947129809037371,True,0,0.0001
6,A1_no_psf_skip,0.006423187913989129,0.0010392097756266594,0.06265942752361298,0.1029207570461963,0.034187530218729466,0.9678498220964422,0.9536730797186102,0.9790564552161065,0.7987507149274902,0.08947129809037371,False,1,0.0001
7,A1_no_psf_skip,0.006271534668337145,0.0010409957030788064,0.0637882873415947,0.0875832272504013,0.029882128468985976,0.9709145152186831,0.9505921703763072,0.9825919766914225,0.8435073384399995,0.0875832272504013,True,0,0.0001
8,A1_no_psf_skip,0.006176683798284185,0.000892753538209945,0.07714621722698212,0.08572519323403988,0.027406748702894508,0.9709606761029902,0.9546537326706772,0.9820385274963098,0.8357424212468155,0.08572519323403988,True,0,0.0001
9,A1_no_psf_skip,0.006118874839904097,0.0007622620323672891,0.07923604547977448,0.09128834117442297,0.02975720963989116,0.9686076669681482,0.9382709375325041,0.9811726561030181,0.8318143609071343,0.08572519323403988,False,1,0.0001
10,A1_no_psf_skip,0.00605600707564681,0.0006407856708392501,0.08076518774032593,0.08889658642185723,0.028932866129359972,0.9707283403083284,0.9536180452415638,0.981931284230123,0.835907560874927,0.08572519323403988,False,2,0.0001
11,A1_no_psf_skip,0.005992255257778337,0.0008809483260847628,0.07352274656295776,0.08262402875158335,0.02664344133303409,0.9716667616583545,0.9539804082914866,0.982538948511481,0.8478147042095565,0.08262402875158335,True,0,0.0001
12,A1_no_psf_skip,0.005961225382424599,0.001043609227053821,0.07253894954919815,0.0887698707177738,0.028930533749800834,0.9706464003384035,0.9527697636861232,0.9820275534885329,0.8325937105139266,0.08262402875158335,False,1,0.0001
13,A1_no_psf_skip,0.005952930939383805,0.0009996728040277958,0.06690264493227005,0.0825862999341535,0.026872745812169373,0.9714142758883454,0.9521259627892517,0.9824388339230664,0.8460063707456691,0.08262402875158335,False,2,0.0001
14,A1_no_psf_skip,0.005868882284723047,0.0007939230417832732,0.0640457347035408,0.09179034021747706,0.02823507044105764,0.9709400770480429,0.9527462190619705,0.982563631038533,0.8436716591308668,0.08262402875158335,False,3,0.0001
15,A1_no_psf_skip,0.00585433607751308,0.0008401266532018781,0.068327896296978,0.08663123704561741,0.027629760349586557,0.971781510196075,0.9501368396294005,0.9829056483157019,0.8504530659414344,0.08262402875158335,False,4,0.0001
16,A1_no_psf_skip,0.00586987019195017,0.0008018974913284183,0.05629887804389,0.08163884509233094,0.026269798878651884,0.9725247750457242,0.952886546375226,0.9828707341312211,0.8451386040774149,0.08163884509233094,True,0,0.0001
17,A1_no_psf_skip,0.005847894345471478,0.0006903823232278228,0.04956900328397751,0.08067378052526486,0.026280413843871843,0.972253770015476,0.9530290417250957,0.982973588656443,0.8467055451732539,0.08067378052526486,True,0,0.0001
18,A1_no_psf_skip,0.005805453869457967,0.0008485214784741402,0.06576691567897797,0.08355247026999658,0.027244095661656923,0.9719433320746365,0.9496925424512055,0.982618785835417,0.8443834049711421,0.08067378052526486,False,1,0.0001
19,A1_no_psf_skip,0.005802563300500784,0.0010863217758014798,0.05517338216304779,0.08761235708853692,0.02734818372079104,0.9716700631877457,0.9560042020123961,0.9823501639876735,0.8414111993638966,0.08067378052526486,False,2,0.0001
20,A1_no_psf_skip,0.00579112844334019,0.0006518623558804393,0.04277804121375084,0.08541966254151599,0.027148477810723697,0.9721606937884935,0.9552662324931708,0.982413703585456,0.842120356831009,0.08067378052526486,False,3,0.0001
21,A1_no_psf_skip,0.00574641519059722,0.0008967721369117498,0.049338776618242264,0.09095674101627406,0.029993248549123084,0.9719047214580641,0.9572711046549897,0.9826761631031825,0.8398919829744931,0.08067378052526486,False,4,0.0001
22,A1_no_psf_skip,0.005753715938325026,0.0009137960732914507,0.044675908982753754,0.08422751596458541,0.02697026587873612,0.9727059357806438,0.9569518978891225,0.9830046522082393,0.8453554047970157,0.08067378052526486,False,5,0.0001
23,A1_no_psf_skip,0.005742093098154992,0.0009017122793011367,0.036917757242918015,0.08461186378029434,0.025785445500911025,0.9727841218530294,0.9539871396582076,0.9832852278997231,0.851511138099547,0.08067378052526486,False,6,0.0001
24,A1_no_psf_skip,0.005695059464158356,0.0007523905951529741,0.042695190757513046,0.08100727100360001,0.025938831301956157,0.972660914929745,0.9563845266882554,0.9828136820738675,0.8482821303026694,0.08067378052526486,False,7,0.0001
25,A1_no_psf_skip,0.005683599973260206,0.0009282248211093247,0.044354189187288284,0.08081311437503828,0.025874292066587642,0.9726771432659319,0.9549643214335646,0.9831000022533065,0.8480921087276027,0.08067378052526486,False,8,0.0001
