variant,description,mae,mse,pearson,spearman,auroc,auprc,epochs_completed,best_epoch
A0_full_psf_skip,full 6-channel model with PSF skip,0.0792838047194485,0.0264778952375276,0.972650256676966,0.9431149297769366,0.9828619891468966,0.8469119558649133,25,16
A5_no_intervention,"zero intervention channel, keep PSF channels and skip",0.07906065215852925,0.026242623627494542,0.9728194059228864,0.9484234398818825,0.9830307428165805,0.8462627588667659,25,16
A2_no_qpsf_channel,zero q_psf channel and remove PSF skip,0.07896740475053086,0.0275216376459669,0.9715635340658941,0.9522036836500681,0.9825034781534882,0.8462365639221717,22,13
A4_image_only,"keep only image, x0, intervention; zero mask, analytical PSF, q_psf; no skip",0.07669830086331329,0.026249935063879376,0.9729085982361937,0.9561173907665204,0.982893196293608,0.8458793347029956,50,42
A3_no_analytical_psf,"zero analytical PSF channel, keep q_psf skip",0.0776628587822847,0.026193642226922272,0.9729184237629195,0.9455512602486097,0.9827348783520164,0.8446085407153574,25,16
A1_no_psf_skip,"all channels, no explicit q_psf skip",0.07770563399549826,0.02682984021462395,0.9723093182719091,0.9564029269221268,0.9827548673202687,0.8428986840094322,26,17
