epoch,variant,train_huber_mean,train_huber_min,train_huber_max,val_mae,val_mse,val_pearson,val_spearman,val_top_risk_auroc,val_top_risk_auprc,best_val_mae,improved_by_val_mae,epochs_without_improvement,learning_rate
0,A4_image_only,0.009904851066313544,0.0014745480148121715,0.12535294890403748,0.11504021436406169,0.05575359557683567,0.9423818143087939,0.9093922772718903,0.9642601676512719,0.7294117969861531,0.11504021436406169,True,0,0.0001
1,A4_image_only,0.008440776119741457,0.0014023958938196301,0.10000737011432648,0.12733436232195217,0.055806670413462094,0.9539760864965321,0.9419777495301922,0.9677054694654091,0.7442391208242161,0.11504021436406169,False,1,0.0001
2,A4_image_only,0.007955352434717691,0.0012859643902629614,0.08673729747533798,0.10775732991466083,0.044820551550472695,0.9533191903570053,0.9204853928352609,0.9668308457762542,0.7398432153318603,0.10775732991466083,True,0,0.0001
3,A4_image_only,0.007553595009217547,0.0010306417243555188,0.07549836486577988,0.09968247179639309,0.03833382058240606,0.9597628726385812,0.9340458296717901,0.9707648049739359,0.7619215961284731,0.09968247179639309,True,0,0.0001
4,A4_image_only,0.007199763226907461,0.0009206359391100705,0.06259283423423767,0.1174466601794886,0.042357334209682254,0.9566201993162323,0.879125802699575,0.9721099655336167,0.7608301463336169,0.09968247179639309,False,1,0.0001
5,A4_image_only,0.006860512046239756,0.0011345735983923078,0.052755460143089294,0.09026512733431037,0.030943943182126923,0.9678614321565413,0.9431944441153328,0.9788672142972707,0.8009667469452978,0.09026512733431037,True,0,0.0001
6,A4_image_only,0.006568700707405163,0.0009945151396095753,0.06011049076914787,0.09752453919393712,0.03634090917928732,0.9666284997379352,0.9519589028053366,0.977821678932913,0.793262123124046,0.09026512733431037,False,1,0.0001
7,A4_image_only,0.006429560376377922,0.0011435092892497778,0.07064966857433319,0.09143572221387093,0.031916707330529294,0.9689943879137568,0.9465553053758117,0.9809910321006239,0.8295195575993073,0.09026512733431037,False,2,0.0001
8,A4_image_only,0.006325242381749476,0.0008657831349410117,0.07832620292901993,0.08830323819883101,0.028086608184184982,0.9704845348623141,0.9520628749596621,0.9815798284502686,0.8327118639224251,0.08830323819883101,True,0,0.0001
9,A4_image_only,0.006221747312999146,0.0009708572761155665,0.08743350952863693,0.0883548197940199,0.029854727076980014,0.968202300603069,0.9198140805226044,0.9807015916674204,0.8323710122889829,0.08830323819883101,False,1,0.0001
10,A4_image_only,0.006174645527009779,0.00076708645792678,0.08738570660352707,0.08801340285839324,0.029235489854579962,0.9693368400624497,0.9521730357846125,0.9810803378768341,0.8334348471778248,0.08830323819883101,False,2,0.0001
11,A4_image_only,0.006114811590908469,0.0007911513675935566,0.07977744936943054,0.08447261861841082,0.028053440372933686,0.9703944342810685,0.943678296523758,0.9817450337455889,0.8396544986127225,0.08447261861841082,True,0,0.0001
12,A4_image_only,0.0060777364663822065,0.0009555245633237064,0.08113905042409897,0.09168518105736619,0.03158089926290365,0.9697344357957195,0.9462649256399311,0.9816036243502116,0.8318857369948505,0.08447261861841082,False,1,0.0001
13,A4_image_only,0.006094871851017839,0.00080495496513322,0.08285308629274368,0.0843537372048615,0.027817914118240077,0.9703259192563056,0.9397321717103799,0.9816208898926044,0.8400050164070417,0.08447261861841082,False,2,0.0001
14,A4_image_only,0.005988491613211308,0.0008839085348881781,0.06818234920501709,0.0910398411248129,0.030756433663143987,0.9694716337635446,0.9543936327767566,0.9818608454950477,0.8378813658840812,0.08447261861841082,False,3,0.0001
15,A4_image_only,0.005967544618049537,0.0007569447043351829,0.07328718155622482,0.08652906474008029,0.027794737507347015,0.9710146048030831,0.9350211582649881,0.982419376495913,0.843276959010665,0.08447261861841082,False,4,0.0001
16,A4_image_only,0.005994508192154833,0.0008429786539636552,0.04885457083582878,0.08293064537637018,0.02656588771717166,0.9721155118486322,0.9506415298007301,0.9827772377161526,0.8477821358510399,0.08293064537637018,True,0,0.0001
17,A4_image_only,0.005960386579959919,0.0008369121351279318,0.061275217682123184,0.08272945284865224,0.027500424637579082,0.9711450878704425,0.9419768575834817,0.98250787588967,0.8436088404207965,0.08293064537637018,False,1,0.0001
18,A4_image_only,0.005932981246037899,0.0008974804659374058,0.07411503046751022,0.0844521962055682,0.027564444531825594,0.9714438908199642,0.9402956070637848,0.9822513033871313,0.8408773343039734,0.08293064537637018,False,2,0.0001
19,A4_image_only,0.005893187071955807,0.0009890816872939467,0.054587092250585556,0.08918584149126266,0.028656458675867892,0.9704016820644659,0.957797772046408,0.9820322580412228,0.8424028032569119,0.08293064537637018,False,3,0.0001
20,A4_image_only,0.005897873844681337,0.0006911033997312188,0.04245883971452713,0.08355842178466644,0.026778162642637344,0.9719435118093339,0.95518231866825,0.9823101349720528,0.840336393188209,0.08293064537637018,False,4,0.0001
21,A4_image_only,0.005863328606107777,0.0009785504080355167,0.04683927819132805,0.0879274371997312,0.02893967296810514,0.9714426971309701,0.957534753571344,0.9825368919483805,0.8409374574762517,0.08293064537637018,False,5,0.0001
22,A4_image_only,0.0058906352708005235,0.0008663490880280733,0.04753229022026062,0.08446912426444024,0.027702390829999892,0.9720382004612538,0.9594419527804554,0.9826270368230979,0.8420926138647332,0.08293064537637018,False,6,0.0001
23,A4_image_only,0.005822012128584309,0.0010829889215528965,0.040541380643844604,0.08727647951470686,0.027480589307583014,0.9718168756981727,0.9558745209949863,0.9825056980030191,0.8434766403330937,0.08293064537637018,False,7,0.0001
