epoch,variant,train_huber_mean,train_huber_min,train_huber_max,val_mae,val_mse,val_pearson,val_spearman,val_top_risk_auroc,val_top_risk_auprc,best_val_mae,improved_by_val_mae,epochs_without_improvement,learning_rate
0,A5_no_intervention,0.009102895884989208,0.001597025664523244,0.09598894417285919,0.09931718806129292,0.03623312607611024,0.9616412435717776,0.9448527058927046,0.9745747604044812,0.7656529208430413,0.09931718806129292,True,0,0.0001
1,A5_no_intervention,0.0074576662857739435,0.0015090968227013946,0.07472994178533554,0.11762255115657015,0.03675548146546744,0.9640617453258714,0.9091526290160826,0.978515360154813,0.8064026445374978,0.09931718806129292,False,1,0.0001
2,A5_no_intervention,0.006907028286005473,0.0015423335134983063,0.07512852549552917,0.09423210652155088,0.03141442665311478,0.967090436542589,0.9439691695873359,0.9794088476758336,0.8130251016796175,0.09423210652155088,True,0,0.0001
3,A5_no_intervention,0.006644732090330691,0.001349105965346098,0.0725635513663292,0.0920074153637309,0.030718314089836125,0.9677754932654886,0.9378089427407794,0.9809520083821007,0.8342098266799713,0.0920074153637309,True,0,0.0001
4,A5_no_intervention,0.006462050354630806,0.0012136430013924837,0.06868159025907516,0.10958167082929188,0.035350597961192026,0.9674943766445032,0.9283281477975771,0.9801669031414271,0.8165358820220627,0.0920074153637309,False,1,0.0001
5,A5_no_intervention,0.006332423823387843,0.0014074164209887385,0.06154625862836838,0.08628492327004654,0.028215049436309793,0.969937463616471,0.9435264419544745,0.9815923914722248,0.838592729537175,0.08628492327004654,True,0,0.0001
6,A5_no_intervention,0.006271635416090827,0.0013506863033398986,0.05881059914827347,0.09947596623944219,0.03306899233953225,0.9678524752920588,0.9451935461479946,0.9807843563510324,0.8302124705764208,0.08628492327004654,False,1,0.0001
7,A5_no_intervention,0.006226302070220564,0.0011991848004981875,0.05961218848824501,0.08849472810122574,0.029733712819282266,0.9699950838578205,0.9552646387420352,0.9817380107805292,0.8372597359894391,0.08628492327004654,False,2,0.0001
8,A5_no_intervention,0.00618003975796341,0.0010278765112161636,0.05772381275892258,0.08704402225963608,0.02845903630037583,0.9700451824732043,0.9536795013192576,0.980828234717633,0.8268728591873736,0.08628492327004654,False,3,0.0001
9,A5_no_intervention,0.006096477435024449,0.0010357479332014918,0.04883475974202156,0.08734109814259396,0.029421883915210674,0.9685648319261356,0.9529197389809985,0.980597497716035,0.8311012440987641,0.08628492327004654,False,4,0.0001
10,A5_no_intervention,0.0060774368290909125,0.0009864636231213808,0.04389311373233795,0.0846356782167139,0.02776793767701342,0.9713838014185759,0.953975462127836,0.9821210345012769,0.8410778834919733,0.0846356782167139,True,0,0.0001
11,A5_no_intervention,0.006023276462234253,0.0010144414845854044,0.04731426388025284,0.0846216320685155,0.02748444802210528,0.9709001895215946,0.9529922788875811,0.9820615079153779,0.8452857912490098,0.0846356782167139,False,1,0.0001
12,A5_no_intervention,0.005938398586673703,0.0009917604038491845,0.04388292506337166,0.08774931088476343,0.028980731351389257,0.9712826091994872,0.9530969936126439,0.9824511583830199,0.8424770753952546,0.0846356782167139,False,2,0.0001
13,A5_no_intervention,0.005924186562509115,0.0010278205154463649,0.04455682262778282,0.0819268355266131,0.026679292326831437,0.9717090963418418,0.9550363364556775,0.9826436163328393,0.8478532961365766,0.0819268355266131,True,0,0.0001
14,A5_no_intervention,0.005868666763760464,0.0010501841315999627,0.040435925126075745,0.08714128962045506,0.027805414431545487,0.9711274502494757,0.9536248664416354,0.9825552503986379,0.8487847033094121,0.0819268355266131,False,1,0.0001
15,A5_no_intervention,0.005876019582145797,0.000936357828322798,0.03903396800160408,0.0841775068871968,0.028436209829292416,0.971061338217054,0.9499262182431171,0.9823654346086381,0.8468544365953258,0.0819268355266131,False,2,0.0001
16,A5_no_intervention,0.005854054156553619,0.0010137208737432957,0.04125918447971344,0.08116165294735263,0.026027747096878086,0.972455336247833,0.955677817583879,0.9829869117830715,0.8488782351689189,0.08116165294735263,True,0,0.0001
17,A5_no_intervention,0.005848609457861013,0.00103977310936898,0.051292482763528824,0.08202756474390173,0.02672839562277259,0.9719705965796552,0.945389339216119,0.9829705520416684,0.8500768649016613,0.08116165294735263,False,1,0.0001
18,A5_no_intervention,0.0058117759350152995,0.0010075431782752275,0.04255055636167526,0.08572321647938708,0.028303122061050418,0.9709009677612392,0.9522874325206303,0.9823313309203062,0.8472328281493605,0.08116165294735263,False,2,0.0001
19,A5_no_intervention,0.005780592181287023,0.0008979346021078527,0.04178173467516899,0.09501914551851556,0.030774424195880553,0.9685733390479017,0.9554356564765676,0.9812480707445785,0.8373340685846621,0.08116165294735263,False,3,0.0001
20,A5_no_intervention,0.005779335279087755,0.0009804145665839314,0.040647201240062714,0.08435458893500244,0.027017943743568838,0.9723087518604944,0.9577480551852441,0.9827088724838025,0.8474136777999814,0.08116165294735263,False,4,0.0001
21,A5_no_intervention,0.005737789598462204,0.0008639951120130718,0.043669573962688446,0.08752090183214521,0.02819829983201493,0.9723023896235778,0.9569306027860364,0.982871881914173,0.8462028856491689,0.08116165294735263,False,5,0.0001
22,A5_no_intervention,0.005736786652711106,0.0010015318403020501,0.044716086238622665,0.08630838225506755,0.026901102171451467,0.9722214101025776,0.9577752956398223,0.9828348774446888,0.8470533275596335,0.08116165294735263,False,6,0.0001
23,A5_no_intervention,0.0057046886206696505,0.0009750302997417748,0.039902493357658386,0.08207156757398736,0.02638955430103281,0.972170925532189,0.9560981384054624,0.9829969675117045,0.8489670605946559,0.08116165294735263,False,7,0.0001
24,A5_no_intervention,0.005693887179202129,0.0010329484939575195,0.044143013656139374,0.08182039402922854,0.02618612236452935,0.9722355637120388,0.9583541366041521,0.9827835487974621,0.84891935798612,0.08116165294735263,False,8,0.0001
