predictor,affine_a,affine_b,qhat,num_scale_pixels,num_conformal_pixels,num_test_pixels,target_coverage,coverage,interval_width,mae,mse,pearson,spearman,top_fraction,top_threshold,top_risk_auroc,top_risk_auprc
reliability_a4_image_only,0.9999774624124736,0.01086595501940596,0.24759245819435427,162816,162816,325632,0.9,0.8966901287342768,0.49518491638870854,0.08227086797692078,0.02713839561475172,0.9715123254403935,0.9516263999780094,0.1,1.7346055746078497,0.9823455282613648,0.8421053213072274
reliability_full,1.0259558479980244,0.006733131438386886,0.2578211315951917,162816,162816,325632,0.9,0.8987599498820755,0.5156422631903834,0.084875476549031,0.027912855855542675,0.9707518634041873,0.9403607896374206,0.1,1.7346055746078497,0.9819167884461777,0.840123965552539
psf_gain_channel,1.9674064958687085,-0.08120673693740166,0.4550525052400274,162816,162816,325632,0.9,0.8999514789701258,0.9101050104800548,0.14023654249958672,0.07037468385969624,0.9243025406236207,0.9210259359568808,0.1,1.7346055746078497,0.9490344676074571,0.5303095388412874
xhat_magnitude,2.567874317528031,0.09113476620684707,0.8183727335792652,162816,162816,325632,0.9,0.9062837804638365,1.6367454671585304,0.312928327313355,0.21203840945018307,0.7477818630911628,0.8809556743273697,0.1,1.7346055746078497,0.9472248295406365,0.5675091142933045
image_gradient,10.623456969758552,0.2455673762144061,0.9475097558127274,162816,162816,325632,0.9,0.9074568838443396,1.895019511625455,0.376743661482193,0.2898719486903057,0.6340190473612568,0.8048115428184941,0.1,1.7346055746078497,0.9402831996803167,0.5775863150614831
intervention_magnitude,0.2268166375874469,0.3463525936475568,1.3334760960174257,162816,162816,325632,0.9,0.9064588246855346,2.6669521920348513,0.5448650496128244,0.47647631433956683,0.10105529949333525,0.38120491002961426,0.1,1.7346055746078497,0.5060912332957319,0.15723496692018082
