split,mae,mse,pearson,spearman,top_fraction,top_threshold,top_risk_auroc,top_risk_auprc,num_eval_pixels_sampled
train,0.07654922198186549,0.025003045860112868,0.973415168062477,0.9601304666501591,0.1,1.7099609375,0.9827466293012864,0.8435415125397003,998470
calibration,0.0795516992543671,0.025788040086676917,0.9725969949189538,0.9561930370933336,0.1,1.72265625,0.9830010998332626,0.8484560447230177,999792
test,0.07669830086331329,0.026249935063879376,0.9729085982361937,0.9561173907665204,0.1,1.73046875,0.982893196293608,0.8458793347029956,999792
