split,mae,mse,pearson,spearman,top_fraction,top_threshold,top_risk_auroc,top_risk_auprc,num_eval_pixels_sampled
train,0.0809388082380761,0.026413582829849378,0.9720924855856695,0.9496841221518901,0.1,1.7109375,0.9825318447005512,0.8434073957722305,998470
calibration,0.08173778564612305,0.02608159946147811,0.9723991587050211,0.9481048630737942,0.1,1.72265625,0.9830028379796223,0.8492990981683767,999792
test,0.07928380471944853,0.026477895237527683,0.9726502566769659,0.9431149297769366,0.1,1.73046875,0.9828619891468966,0.8469119558649133,999792
