split,mae,mse,pearson,spearman,top_fraction,top_threshold,top_risk_auroc,top_risk_auprc,num_eval_pixels_sampled
train,0.07941763128468267,0.026089526369297143,0.9723356689863119,0.9531528800782235,0.1,1.7109375,0.9824211817262742,0.8415217707721362,998470
calibration,0.08094992906593132,0.02585351995677952,0.9725564518259296,0.9486455359011996,0.1,1.72265625,0.9829746167256341,0.8497725498827391,999792
test,0.0776628587822847,0.026193642226922272,0.9729184237629195,0.9455512602486097,0.1,1.73046875,0.9827348783520164,0.8446085407153574,999792
