split,volume_id,slice_idx,num_coils,height,width,reference_scale,target_raw_l1,target_norm_l1,raw_to_norm_l1_ratio,relative_ratio_error,ssdu_loss,diagnostic_target_l1,diagnostic_residual_l1,out_nmse,out_psnr,out_ssim,out_p99,ref_p99,out_p99_ratio,x0_nmse,x0_psnr,x0_ssim,x0_p99,x0_p99_ratio,r_theta,theta_count,lambda_rec_count,lambda_min_center_distance_norm,lambda_mean_center_distance_norm,lambda_acs_overlap_count
train,file_brain_AXT2_203_2030288,0,4,768,392,0.0004113590402994305,0.8842718005180359,2149.634765625,0.0004113590897665521,1.2025290955537838e-07,0.7227952480316162,2149.634765625,1553.745849609375,0.3532959222793579,16.54055703232905,0.5641376644999122,1.644708275794983,0.9999756217002869,1.6447483719621026,0.05633650720119476,24.51404431714984,0.31275048165001207,0.9106313586235046,0.9106535588079855,6.426229476928711,61,19,0.06393861770629883,0.2448512464761734,0
train,file_brain_AXT2_203_2030288,1,4,768,392,0.0004235380911268294,0.8946199417114258,2112.25390625,0.0004235380694831774,5.110201983717649e-08,0.7159116864204407,2112.25390625,1512.187255859375,0.3671916723251343,16.220110175494828,0.5741655883524144,1.6725008487701416,0.9999763369560242,1.6725404261661247,0.05012771487236023,24.8682590045877,0.31580144806533406,0.9263961315155029,0.9264180533857138,6.426229476928711,61,19,0.06393861770629883,0.2448512464761734,0
train,file_brain_AXT2_203_2030288,2,4,768,392,0.00044233023072592914,0.8923428654670715,2017.3680419921875,0.00044233022774856014,6.731099953914593e-09,0.718101978302002,2017.3680419921875,1448.676025390625,0.3802891969680786,16.105545870410708,0.5871740030365256,1.7136775255203247,0.9999774098396301,1.7137162386432705,0.04733589291572571,25.154779671194532,0.3231620019530648,0.9513082504272461,0.9513297411177113,6.426229476928711,61,19,0.06393861770629883,0.2448512464761734,0
train,file_brain_AXT2_203_2030288,3,4,768,392,0.00042279536137357354,0.8067899942398071,1908.22802734375,0.00042279538015320786,4.4417786915187864e-08,0.7302090525627136,1908.22802734375,1393.4053955078125,0.37753385305404663,16.14674087113629,0.5758254569878412,1.7125287055969238,0.9999763369560242,1.712569230196217,0.04403001070022583,25.47881164619188,0.3142987167428094,0.9531055092811584,0.9531280631914792,6.426229476928711,61,19,0.06393861770629883,0.2448512464761734,0
train,file_brain_AXT2_201_2010628,0,20,768,396,0.00038865808164700866,2.096891403198242,5395.20849609375,0.00038865808517250767,9.07095251342217e-09,0.7277791500091553,5395.20849609375,3926.520263671875,0.34591594338417053,16.95649557414004,0.47002490068062547,1.5922112464904785,0.9999741911888123,1.5922523406289089,0.09492678195238113,22.572313730295498,0.25585883862798253,0.8800377249717712,0.8800604382845767,6.387096881866455,62,19,0.06835442781448364,0.2732844650745392,0
train,file_brain_AXT2_201_2010628,1,20,768,396,0.00037668284494429827,2.032217502593994,5395.03515625,0.00037668290265721914,1.532135627875905e-07,0.7455167770385742,5395.03515625,4022.08935546875,0.3665161728858948,16.32136455599048,0.4687241297171627,1.638016939163208,0.9999734163284302,1.63806048482351,0.08633658289909363,22.600347927557166,0.2564450369657272,0.9111822843551636,0.9112065075687819,6.387096881866455,62,19,0.06835442781448364,0.2732844650745392,0
train,file_brain_AXT2_201_2010628,2,20,768,396,0.0003889979561790824,2.026398181915283,5209.27734375,0.00038899794505019395,2.8609117969004973e-08,0.7499105930328369,5209.27734375,3906.4921875,0.3869498372077942,16.06728477025892,0.4654729554373149,1.6974354982376099,0.999974250793457,1.6974792069786153,0.08208298683166504,22.801299742289892,0.2527216354039913,0.9411978125572205,0.9412220482772031,6.387096881866455,62,19,0.06835442781448364,0.2732844650745392,0
train,file_brain_AXT2_201_2010628,3,20,768,396,0.0003704123664647341,1.9085936546325684,5152.6181640625,0.0003704123988740838,8.749532297833035e-08,0.7567461729049683,5152.6181640625,3899.22412109375,0.3924623429775238,16.007613203632655,0.4436626634201037,1.6734517812728882,0.9999729990959167,1.6734969672023097,0.0815824568271637,22.82962565146301,0.24006776703107424,0.9321752190589905,0.9322003893113565,6.387096881866455,62,19,0.06835442781448364,0.2732844650745392,0
train,file_brain_AXT2_200_2000092,0,16,768,396,0.00029868041747249663,2.0065462589263916,6718.037109375,0.0002986804368981919,6.503839576745339e-08,0.6677902340888977,6718.037109375,4486.23974609375,0.29039451479911804,17.962053615572,0.40091305301461194,1.3934351205825806,0.9999664425849915,1.393481882231016,0.1250111311674118,21.622450884413972,0.23871893812355569,0.7581090927124023,0.7581345337468255,6.387096881866455,62,19,0.06835442781448364,0.21172550320625305,0
train,file_brain_AXT2_200_2000092,1,16,768,396,0.0003124753129668534,2.0596139430999756,6591.28564453125,0.0003124752975633554,4.929508760318213e-08,0.6592978239059448,6591.28564453125,4345.6201171875,0.29937076568603516,17.94710485572869,0.41728478219184795,1.4046814441680908,0.9999679923057556,1.4047264062199933,0.1186763346195221,21.96555730832792,0.2462572555737598,0.7684200406074524,0.7684446367476607,6.387096881866455,62,19,0.06835442781448364,0.21172550320625305,0
