split,mae,mse,pearson,spearman,top_fraction,top_threshold,top_risk_auroc,top_risk_auprc,num_eval_pixels_sampled
train,0.08041704036194293,0.026901432280312623,0.9714289009542941,0.9556913818985985,0.1,1.7080078125,0.9818936728886237,0.8369829824622362,998470
calibration,0.08245833757877519,0.027086506120766834,0.9711949223828045,0.9533383465763327,0.1,1.72265625,0.9823465456384028,0.8450024147934043,999792
test,0.07896740475053086,0.0275216376459669,0.9715635340658941,0.9522036836500681,0.1,1.73046875,0.9825034781534882,0.8462365639221717,999792
