split,mae,mse,pearson,spearman,top_fraction,top_threshold,top_risk_auroc,top_risk_auprc,num_eval_pixels_sampled
train,0.07867520008206316,0.026191123267998412,0.9721695277436183,0.9586235253940236,0.1,1.7099609375,0.9824353710024517,0.8413088106156378,998470
calibration,0.08067378052526486,0.026280413843871843,0.9720920308662978,0.9528148572231784,0.1,1.72265625,0.9828476231233395,0.8453958974041086,999792
test,0.07770563399549826,0.02682984021462395,0.9723093182719091,0.9564029269221268,0.1,1.73046875,0.9827548673202687,0.8428986840094322,999792
