split,mae,mse,pearson,spearman,top_fraction,top_threshold,top_risk_auroc,top_risk_auprc,num_eval_pixels_sampled
train,0.07935091232080953,0.025752142388123136,0.9725429526360392,0.9548438053771134,0.1,1.7109375,0.9825135537880791,0.8412679817891119,998470
calibration,0.08116165294735263,0.026027747096878086,0.9723589988301773,0.955561717983905,0.1,1.72265625,0.9829603085608069,0.8492692475402467,999792
test,0.07906065215852925,0.026242623627494542,0.9728194059228864,0.9484234398818825,0.1,1.73046875,0.9830307428165805,0.8462627588667659,999792
